"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2020,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
  ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
 ,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,38 ,107 ,105 ,115 ,193 ,154 ,138 ,98 ,24 ,972 
Männer,21 ,81 ,74 ,74 ,142 ,118 ,100 ,68 ,18 ,696 
Frauen,17 ,26 ,31 ,41 ,51 ,36 ,38 ,30 ,6 ,276 
,,,,,,,,,,
Vergiftung 1),3 ,15 ,20 ,18 ,29 ,16 ,11 ,11 ,3 ,126 
Männer,2 ,10 ,11 ,11 ,16 ,8 ,7 ,4 ,2 ,71 
Frauen,1 ,5 ,9 ,7 ,13 ,8 ,4 ,7 ,1 ,55 
,,,,,,,,,,
Erhängen,14 ,39 ,38 ,45 ,59 ,42 ,42 ,21 ,4 ,304 
Männer,3 ,32 ,28 ,29 ,51 ,34 ,26 ,18 ,2 ,223 
Frauen,11 ,7 ,10 ,16 ,8 ,8 ,16 ,3 ,2 ,81 
,,,,,,,,,,
Schusswaffen,4 ,10 ,12 ,7 ,27 ,36 ,45 ,25 ,10 ,176 
Männer,4 ,7 ,10 ,6 ,27 ,35 ,44 ,24 ,10 ,167 
Frauen,- ,3 ,2 ,1 ,- ,1 ,1 ,1 ,- ,9 
,,,,,,,,,,
Übrige Suizidmethoden,17 ,43 ,35 ,45 ,78 ,60 ,40 ,41 ,7 ,366 
Männer,12 ,32 ,25 ,28 ,48 ,41 ,23 ,22 ,4 ,235 
Frauen,5 ,11 ,10 ,17 ,30 ,19 ,17 ,19 ,3 ,131 
,,,,,,,,,,
Alle Todesursachen,530 ,337 ,543 ,"1,196 ","3,493 ","7,089 ","15,172 ","27,709 ","20,126 ","76,195 "
Männer,312 ,251 ,346 ,728 ,"2,243 ","4,484 ","8,966 ","13,559 ","6,735 ","37,624 "
Frauen,218 ,86 ,197 ,468 ,"1,250 ","2,605 ","6,206 ","14,150 ","13,391 ","38,571 "
,,,,,,,,,,
Stand der Daten: 29.08.2022,,,,,,,,,,
1) Ab 2009 ohne assistierten Suizid,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 058 463 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Todesursachenstatistik,,,,,,,,,,
