"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2012,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,36 ,95 ,107 ,182 ,211 ,175 ,120 ,91 ,20 ,"1,037 "
Männer,33 ,73 ,77 ,128 ,139 ,126 ,92 ,69 ,15 ,752 
Frauen,3 ,22 ,30 ,54 ,72 ,49 ,28 ,22 ,5 ,285 
,,,,,,,,,,
Vergiftung 1),- ,10 ,16 ,25 ,39 ,19 ,11 ,7 ,5 ,132 
Männer,- ,7 ,12 ,20 ,17 ,8 ,7 ,4 ,4 ,79 
Frauen,- ,3 ,4 ,5 ,22 ,11 ,4 ,3 ,1 ,53 
,,,,,,,,,,
Erhängen,10 ,30 ,32 ,79 ,69 ,49 ,32 ,21 ,1 ,323 
Männer,9 ,26 ,23 ,53 ,57 ,35 ,24 ,15 ,1 ,243 
Frauen,1 ,4 ,9 ,26 ,12 ,14 ,8 ,6 ,- ,80 
,,,,,,,,,,
Schusswaffen,4 ,15 ,16 ,22 ,34 ,44 ,33 ,33 ,4 ,205 
Männer,4 ,15 ,14 ,21 ,33 ,43 ,33 ,33 ,4 ,200 
Frauen,- ,- ,2 ,1 ,1 ,1 ,- ,- ,- ,5 
,,,,,,,,,,
Übrige Suizidmethoden,22 ,40 ,43 ,56 ,69 ,63 ,44 ,30 ,10 ,377 
Männer,20 ,25 ,28 ,34 ,32 ,40 ,28 ,17 ,6 ,230 
Frauen,2 ,15 ,15 ,22 ,37 ,23 ,16 ,13 ,4 ,147 
,,,,,,,,,,
Alle Todesursachen,507 ,335 ,533 ,"1,554 ","3,636 ","7,309 ","12,234 ","23,612 ","14,453 ","64,173 "
Männer,298 ,230 ,356 ,958 ,"2,264 ","4,598 ","7,136 ","10,457 ","4,400 ","30,697 "
Frauen,209 ,105 ,177 ,596 ,"1,372 ","2,711 ","5,098 ","13,155 ","10,053 ","33,476 "
,,,,,,,,,,
Stand der Daten: 27.05.2014,,,,,,,,,,
1) Ab 2009 ohne assistierten Suizid,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 032 713 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
