"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2004,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,30 ,111 ,148 ,213 ,258 ,175 ,182 ,143 ,32 ,"1,292 "
Männer,19 ,88 ,105 ,155 ,171 ,105 ,111 ,91 ,15 ,860 
Frauen,11 ,23 ,43 ,58 ,87 ,70 ,71 ,52 ,17 ,432 
,,,,,,,,,,
Vergiftung,2 ,20 ,25 ,41 ,46 ,59 ,77 ,67 ,18 ,355 
Männer,- ,12 ,15 ,25 ,19 ,29 ,39 ,30 ,7 ,176 
Frauen,2 ,8 ,10 ,16 ,27 ,30 ,38 ,37 ,11 ,179 
,,,,,,,,,,
Erhängen,7 ,28 ,34 ,65 ,76 ,46 ,32 ,19 ,6 ,313 
Männer,6 ,25 ,26 ,47 ,55 ,31 ,23 ,17 ,2 ,232 
Frauen,1 ,3 ,8 ,18 ,21 ,15 ,9 ,2 ,4 ,81 
,,,,,,,,,,
Schusswaffen,6 ,33 ,41 ,46 ,53 ,30 ,27 ,31 ,4 ,271 
Männer,4 ,32 ,40 ,44 ,48 ,29 ,26 ,31 ,4 ,258 
Frauen,2 ,1 ,1 ,2 ,5 ,1 ,1 ,- ,- ,13 
,,,,,,,,,,
Übrige Suizidmethoden,15 ,30 ,48 ,61 ,83 ,40 ,46 ,26 ,4 ,353 
Männer,9 ,19 ,24 ,39 ,49 ,16 ,23 ,13 ,2 ,194 
Frauen,6 ,11 ,24 ,22 ,34 ,24 ,23 ,13 ,2 ,159 
,,,,,,,,,,
Alle Todesursachen,647 ,463 ,834 ,"1,798 ","3,821 ","6,699 ","13,055 ","21,018 ","11,845 ","60,180 "
Männer,384 ,347 ,550 ,"1,142 ","2,477 ","4,288 ","7,371 ","9,098 ","3,334 ","28,991 "
Frauen,263 ,116 ,284 ,656 ,"1,344 ","2,411 ","5,684 ","11,920 ","8,511 ","31,189 "
,,,,,,,,,,
,,,,,,,,,,
Stand der Daten: 8.12.2010 ,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 032 713 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
