"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2002,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,29 ,170 ,197 ,241 ,267 ,183 ,180 ,145 ,39 ,"1,451 "
Männer,18 ,137 ,145 ,166 ,181 ,109 ,116 ,90 ,19 ,981 
Frauen,11 ,33 ,52 ,75 ,86 ,74 ,64 ,55 ,20 ,470 
,,,,,,,,,,
Vergiftung,2 ,21 ,34 ,46 ,53 ,47 ,52 ,53 ,17 ,325 
Männer,1 ,13 ,18 ,25 ,25 ,13 ,23 ,19 ,7 ,144 
Frauen,1 ,8 ,16 ,21 ,28 ,34 ,29 ,34 ,10 ,181 
,,,,,,,,,,
Erhängen,7 ,33 ,58 ,70 ,80 ,43 ,40 ,30 ,5 ,366 
Männer,2 ,27 ,40 ,51 ,56 ,32 ,28 ,25 ,3 ,264 
Frauen,5 ,6 ,18 ,19 ,24 ,11 ,12 ,5 ,2 ,102 
,,,,,,,,,,
Schusswaffen,6 ,63 ,60 ,51 ,73 ,38 ,33 ,23 ,4 ,351 
Männer,5 ,63 ,56 ,49 ,70 ,35 ,33 ,23 ,4 ,338 
Frauen,1 ,- ,4 ,2 ,3 ,3 ,- ,- ,- ,13 
,,,,,,,,,,
Übrige Suizidmethoden,14 ,53 ,45 ,74 ,61 ,55 ,55 ,39 ,13 ,409 
Männer,10 ,34 ,31 ,41 ,30 ,29 ,32 ,23 ,5 ,235 
Frauen,4 ,19 ,14 ,33 ,31 ,26 ,23 ,16 ,8 ,174 
,,,,,,,,,,
Alle Todesursachen,649 ,542 ,914 ,"1,899 ","3,948 ","6,746 ","13,845 ","21,602 ","11,623 ","61,768 "
Männer,385 ,394 ,624 ,"1,172 ","2,515 ","4,311 ","7,955 ","9,188 ","3,183 ","29,727 "
Frauen,264 ,148 ,290 ,727 ,"1,433 ","2,435 ","5,890 ","12,414 ","8,440 ","32,041 "
,,,,,,,,,,
,,,,,,,,,,
Stand der Daten: 8.12.2010 ,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 032 713 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
