"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2019,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
  ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
 ,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,24 ,103 ,99 ,140 ,218 ,150 ,148 ,114 ,22 ,"1,018 "
Männer,18 ,73 ,76 ,97 ,163 ,108 ,102 ,87 ,18 ,742 
Frauen,6 ,30 ,23 ,43 ,55 ,42 ,46 ,27 ,4 ,276 
,,,,,,,,,,
Vergiftung 1),2 ,15 ,10 ,19 ,39 ,22 ,23 ,16 ,2 ,148 
Männer,1 ,9 ,8 ,10 ,28 ,12 ,6 ,11 ,1 ,86 
Frauen,1 ,6 ,2 ,9 ,11 ,10 ,17 ,5 ,1 ,62 
,,,,,,,,,,
Erhängen,7 ,35 ,46 ,47 ,79 ,38 ,31 ,28 ,4 ,315 
Männer,6 ,26 ,34 ,35 ,59 ,25 ,23 ,21 ,4 ,233 
Frauen,1 ,9 ,12 ,12 ,20 ,13 ,8 ,7 ,- ,82 
,,,,,,,,,,
Schusswaffen,- ,9 ,14 ,14 ,32 ,33 ,38 ,36 ,7 ,183 
Männer,- ,9 ,9 ,11 ,30 ,33 ,37 ,35 ,7 ,171 
Frauen,- ,- ,5 ,3 ,2 ,- ,1 ,1 ,- ,12 
,,,,,,,,,,
Übrige Suizidmethoden,15 ,44 ,29 ,60 ,68 ,57 ,56 ,34 ,9 ,372 
Männer,11 ,29 ,25 ,41 ,46 ,38 ,36 ,20 ,6 ,252 
Frauen,4 ,15 ,4 ,19 ,22 ,19 ,20 ,14 ,3 ,120 
,,,,,,,,,,
Alle Todesursachen,470 ,322 ,478 ,"1,182 ","3,409 ","6,775 ","13,828 ","24,041 ","17,275 ","67,780 "
Männer,270 ,229 ,316 ,714 ,"2,152 ","4,187 ","8,041 ","11,373 ","5,474 ","32,756 "
Frauen,200 ,93 ,162 ,468 ,"1,257 ","2,588 ","5,787 ","12,668 ","11,801 ","35,024 "
,,,,,,,,,,
Stand der Daten: 13.12.2021,,,,,,,,,,
1) Ab 2009 ohne assistierten Suizid,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 058 463 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
