"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2016,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
 ,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,25 ,92 ,103 ,170 ,219 ,170 ,128 ,95 ,14 ,"1,016 "
Männer,18 ,69 ,69 ,123 ,172 ,125 ,96 ,74 ,13 ,759 
Frauen,7 ,23 ,34 ,47 ,47 ,45 ,32 ,21 ,1 ,257 
,,,,,,,,,,
Vergiftung 1),- ,6 ,19 ,27 ,37 ,15 ,10 ,10 ,3 ,127 
Männer,- ,5 ,10 ,17 ,22 ,9 ,8 ,2 ,3 ,76 
Frauen,- ,1 ,9 ,10 ,15 ,6 ,2 ,8 ,- ,51 
,,,,,,,,,,
Erhängen,9 ,27 ,35 ,61 ,79 ,51 ,25 ,21 ,4 ,312 
Männer,6 ,20 ,27 ,43 ,68 ,38 ,20 ,18 ,3 ,243 
Frauen,3 ,7 ,8 ,18 ,11 ,13 ,5 ,3 ,1 ,69 
,,,,,,,,,,
Schusswaffen,3 ,16 ,8 ,22 ,41 ,43 ,46 ,30 ,3 ,212 
Männer,3 ,16 ,6 ,20 ,39 ,42 ,46 ,30 ,3 ,205 
Frauen,- ,- ,2 ,2 ,2 ,1 ,- ,- ,- ,7 
,,,,,,,,,,
Übrige Suizidmethoden,13 ,43 ,41 ,60 ,62 ,61 ,47 ,34 ,4 ,365 
Männer,9 ,28 ,26 ,43 ,43 ,36 ,22 ,24 ,4 ,235 
Frauen,4 ,15 ,15 ,17 ,19 ,25 ,25 ,10 ,- ,130 
,,,,,,,,,,
Alle Todesursachen,481 ,344 ,521 ,"1,323 ","3,552 ","6,964 ","12,621 ","23,633 ","15,525 ","64,964 "
Männer,245 ,244 ,319 ,790 ,"2,238 ","4,317 ","7,283 ","10,957 ","4,890 ","31,283 "
Frauen,236 ,100 ,202 ,533 ,"1,314 ","2,647 ","5,338 ","12,676 ","10,635 ","33,681 "
,,,,,,,,,,
Stand der Daten: 17.12.2018,,,,,,,,,,
1) Ab 2009 ohne assistierten Suizid,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 058 463 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
