"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2021,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
  ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
 ,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,35 ,92 ,98 ,140 ,200 ,168 ,142 ,102 ,28 ,"1,005 "
Männer,21 ,68 ,76 ,95 ,137 ,121 ,103 ,79 ,19 ,719 
Frauen,14 ,24 ,22 ,45 ,63 ,47 ,39 ,23 ,9 ,286 
,,,,,,,,,,
Vergiftung 1),4 ,10 ,10 ,24 ,28 ,21 ,17 ,10 ,4 ,128 
Männer,3 ,6 ,6 ,16 ,14 ,10 ,8 ,2 ,- ,65 
Frauen,1 ,4 ,4 ,8 ,14 ,11 ,9 ,8 ,4 ,63 
,,,,,,,,,,
Erhängen,13 ,35 ,30 ,56 ,69 ,51 ,37 ,23 ,6 ,320 
Männer,9 ,25 ,23 ,41 ,54 ,44 ,33 ,21 ,4 ,254 
Frauen,4 ,10 ,7 ,15 ,15 ,7 ,4 ,2 ,2 ,66 
,,,,,,,,,,
Schusswaffen,- ,9 ,7 ,11 ,31 ,26 ,40 ,24 ,7 ,155 
Männer,- ,8 ,7 ,10 ,25 ,24 ,38 ,24 ,7 ,143 
Frauen,- ,1 ,- ,1 ,6 ,2 ,2 ,- ,- ,12 
,,,,,,,,,,
Übrige Suizidmethoden,18 ,38 ,51 ,49 ,72 ,70 ,48 ,45 ,11 ,402 
Männer,9 ,29 ,40 ,28 ,44 ,43 ,24 ,32 ,8 ,257 
Frauen,9 ,9 ,11 ,21 ,28 ,27 ,24 ,13 ,3 ,145 
,,,,,,,,,,
Alle Todesursachen,483 ,343 ,526 ,"1,139 ","3,644 ","7,234 ","14,855 ","24,582 ","18,386 ","71,192 "
Männer,280 ,253 ,345 ,713 ,"2,295 ","4,610 ","8,713 ","11,887 ","6,009 ","35,105 "
Frauen,203 ,90 ,181 ,426 ,"1,349 ","2,624 ","6,142 ","12,695 ","12,377 ","36,087 "
,,,,,,,,,,
Stand der Daten: 17.04.2023,,,,,,,,,,
1) Ab 2009 ohne assistierten Suizid,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 058 463 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Todesursachenstatistik,,,,,,,,,,
