"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2011,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,28 ,108 ,106 ,217 ,187 ,155 ,117 ,92 ,24 ,"1,034 "
Männer,24 ,82 ,82 ,158 ,135 ,110 ,77 ,71 ,18 ,757 
Frauen,4 ,26 ,24 ,59 ,52 ,45 ,40 ,21 ,6 ,277 
,,,,,,,,,,
Vergiftung 1),2 ,18 ,16 ,29 ,34 ,19 ,17 ,7 ,1 ,143 
Männer,2 ,12 ,9 ,17 ,23 ,8 ,9 ,2 ,- ,82 
Frauen,- ,6 ,7 ,12 ,11 ,11 ,8 ,5 ,1 ,61 
,,,,,,,,,,
Erhängen,13 ,27 ,41 ,92 ,52 ,50 ,35 ,30 ,3 ,343 
Männer,10 ,22 ,34 ,73 ,41 ,40 ,25 ,24 ,3 ,272 
Frauen,3 ,5 ,7 ,19 ,11 ,10 ,10 ,6 ,- ,71 
,,,,,,,,,,
Schusswaffen,- ,19 ,16 ,37 ,40 ,41 ,24 ,26 ,7 ,210 
Männer,- ,18 ,15 ,33 ,35 ,38 ,22 ,26 ,7 ,194 
Frauen,- ,1 ,1 ,4 ,5 ,3 ,2 ,- ,- ,16 
,,,,,,,,,,
Übrige Suizidmethoden,13 ,44 ,33 ,59 ,61 ,45 ,41 ,29 ,13 ,338 
Männer,12 ,30 ,24 ,35 ,36 ,24 ,21 ,19 ,8 ,209 
Frauen,1 ,14 ,9 ,24 ,25 ,21 ,20 ,10 ,5 ,129 
,,,,,,,,,,
Alle Todesursachen,534 ,373 ,571 ,"1,670 ","3,447 ","7,178 ","12,225 ","22,935 ","13,158 ","62,091 "
Männer,316 ,257 ,369 ,"1,033 ","2,190 ","4,483 ","7,140 ","10,338 ","3,968 ","30,094 "
Frauen,218 ,116 ,202 ,637 ,"1,257 ","2,695 ","5,085 ","12,597 ","9,190 ","31,997 "
,,,,,,,,,,
Stand der Daten: 01.07.2013,,,,,,,,,,
1) Ab 2009 ohne assistierten Suizid,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 032 713 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
