"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2005,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,31 ,124 ,155 ,241 ,222 ,172 ,182 ,134 ,43 ,"1,304 "
Männer,20 ,96 ,112 ,166 ,167 ,109 ,115 ,88 ,28 ,901 
Frauen,11 ,28 ,43 ,75 ,55 ,63 ,67 ,46 ,15 ,403 
,,,,,,,,,,
Vergiftung,2 ,12 ,30 ,47 ,43 ,40 ,70 ,65 ,26 ,335 
Männer,1 ,9 ,20 ,25 ,21 ,13 ,35 ,33 ,14 ,171 
Frauen,1 ,3 ,10 ,22 ,22 ,27 ,35 ,32 ,12 ,164 
,,,,,,,,,,
Erhängen,7 ,23 ,39 ,89 ,74 ,31 ,34 ,23 ,8 ,328 
Männer,5 ,16 ,28 ,75 ,62 ,25 ,25 ,19 ,7 ,262 
Frauen,2 ,7 ,11 ,14 ,12 ,6 ,9 ,4 ,1 ,66 
,,,,,,,,,,
Schusswaffen,3 ,50 ,24 ,36 ,44 ,46 ,34 ,22 ,3 ,262 
Männer,2 ,46 ,23 ,31 ,43 ,43 ,33 ,22 ,3 ,246 
Frauen,1 ,4 ,1 ,5 ,1 ,3 ,1 ,- ,- ,16 
,,,,,,,,,,
Übrige Suizidmethoden,19 ,39 ,62 ,69 ,61 ,55 ,44 ,24 ,6 ,379 
Männer,12 ,25 ,41 ,35 ,41 ,28 ,22 ,14 ,4 ,222 
Frauen,7 ,14 ,21 ,34 ,20 ,27 ,22 ,10 ,2 ,157 
,,,,,,,,,,
Alle Todesursachen,608 ,447 ,783 ,"1,843 ","3,697 ","6,767 ","12,903 ","21,723 ","12,353 ","61,124 "
Männer,370 ,312 ,512 ,"1,153 ","2,425 ","4,321 ","7,481 ","9,590 ","3,544 ","29,708 "
Frauen,238 ,135 ,271 ,690 ,"1,272 ","2,446 ","5,422 ","12,133 ","8,809 ","31,416 "
,,,,,,,,,,
,,,,,,,,,,
Stand der Daten: 8.12.2010 ,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 032 713 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
