"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2010,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,26 ,95 ,108 ,187 ,224 ,157 ,114 ,75 ,18 ,"1,004 "
Männer,18 ,70 ,77 ,142 ,152 ,109 ,85 ,57 ,13 ,723 
Frauen,8 ,25 ,31 ,45 ,72 ,48 ,29 ,18 ,5 ,281 
,,,,,,,,,,
Vergiftung 1),3 ,11 ,17 ,42 ,42 ,18 ,11 ,15 ,5 ,164 
Männer,1 ,6 ,5 ,25 ,20 ,6 ,7 ,9 ,3 ,82 
Frauen,2 ,5 ,12 ,17 ,22 ,12 ,4 ,6 ,2 ,82 
,,,,,,,,,,
Erhängen,7 ,29 ,33 ,65 ,62 ,43 ,30 ,13 ,1 ,283 
Männer,5 ,22 ,26 ,55 ,47 ,30 ,24 ,11 ,1 ,221 
Frauen,2 ,7 ,7 ,10 ,15 ,13 ,6 ,2 ,- ,62 
,,,,,,,,,,
Schusswaffen,2 ,17 ,13 ,34 ,56 ,40 ,33 ,23 ,4 ,222 
Männer,2 ,16 ,12 ,32 ,51 ,40 ,33 ,23 ,4 ,213 
Frauen,- ,1 ,1 ,2 ,5 ,- ,- ,- ,- ,9 
,,,,,,,,,,
Übrige Suizidmethoden,14 ,38 ,45 ,46 ,64 ,56 ,40 ,24 ,8 ,335 
Männer,10 ,26 ,34 ,30 ,34 ,33 ,21 ,14 ,5 ,207 
Frauen,4 ,12 ,11 ,16 ,30 ,23 ,19 ,10 ,3 ,128 
,,,,,,,,,,
Alle Todesursachen,529 ,334 ,572 ,"1,706 ","3,616 ","7,188 ","12,356 ","23,293 ","13,055 ","62,649 "
Männer,288 ,232 ,356 ,"1,078 ","2,261 ","4,582 ","7,197 ","10,373 ","3,916 ","30,283 "
Frauen,241 ,102 ,216 ,628 ,"1,355 ","2,606 ","5,159 ","12,920 ","9,139 ","32,366 "
,,,,,,,,,,
Stand der Daten: 16.08.2012,,,,,,,,,,
1) Ab 2009 ohne assistierten Suizid,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 032 713 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
