"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2006,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,42 ,110 ,146 ,229 ,240 ,177 ,179 ,157 ,32 ,"1,312 "
Männer,31 ,80 ,105 ,154 ,166 ,112 ,102 ,96 ,17 ,863 
Frauen,11 ,30 ,41 ,75 ,74 ,65 ,77 ,61 ,15 ,449 
,,,,,,,,,,
Vergiftung,2 ,12 ,26 ,55 ,62 ,51 ,77 ,81 ,23 ,389 
Männer,1 ,2 ,15 ,31 ,30 ,22 ,33 ,33 ,10 ,177 
Frauen,1 ,10 ,11 ,24 ,32 ,29 ,44 ,48 ,13 ,212 
,,,,,,,,,,
Erhängen,11 ,22 ,38 ,58 ,70 ,36 ,29 ,21 ,2 ,287 
Männer,9 ,17 ,28 ,45 ,58 ,28 ,22 ,20 ,2 ,229 
Frauen,2 ,5 ,10 ,13 ,12 ,8 ,7 ,1 ,- ,58 
,,,,,,,,,,
Schusswaffen,7 ,37 ,32 ,36 ,48 ,41 ,32 ,24 ,2 ,259 
Männer,7 ,35 ,30 ,31 ,46 ,41 ,31 ,24 ,2 ,247 
Frauen,- ,2 ,2 ,5 ,2 ,- ,1 ,- ,- ,12 
,,,,,,,,,,
Übrige Suizidmethoden,22 ,39 ,50 ,80 ,60 ,49 ,41 ,31 ,5 ,377 
Männer,14 ,26 ,32 ,47 ,32 ,21 ,16 ,19 ,3 ,210 
Frauen,8 ,13 ,18 ,33 ,28 ,28 ,25 ,12 ,2 ,167 
,,,,,,,,,,
Alle Todesursachen,622 ,438 ,726 ,"1,747 ","3,724 ","6,676 ","12,898 ","21,556 ","11,896 ","60,283 "
Männer,367 ,315 ,476 ,"1,081 ","2,342 ","4,199 ","7,420 ","9,595 ","3,417 ","29,212 "
Frauen,255 ,123 ,250 ,666 ,"1,382 ","2,477 ","5,478 ","11,961 ","8,479 ","31,071 "
,,,,,,,,,,
,,,,,,,,,,
Stand der Daten: 8.12.2010 ,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 032 713 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
