"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2003,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,42 ,115 ,168 ,192 ,248 ,146 ,188 ,139 ,42 ,"1,280 "
Männer,28 ,93 ,128 ,138 ,162 ,89 ,119 ,79 ,17 ,853 
Frauen,14 ,22 ,40 ,54 ,86 ,57 ,69 ,60 ,25 ,427 
,,,,,,,,,,
Vergiftung,7 ,10 ,25 ,42 ,59 ,40 ,66 ,75 ,26 ,350 
Männer,1 ,7 ,14 ,21 ,26 ,15 ,27 ,33 ,3 ,147 
Frauen,6 ,3 ,11 ,21 ,33 ,25 ,39 ,42 ,23 ,203 
,,,,,,,,,,
Erhängen,8 ,22 ,48 ,47 ,72 ,39 ,33 ,23 ,4 ,296 
Männer,6 ,18 ,38 ,41 ,55 ,32 ,24 ,19 ,3 ,236 
Frauen,2 ,4 ,10 ,6 ,17 ,7 ,9 ,4 ,1 ,60 
,,,,,,,,,,
Schusswaffen,11 ,48 ,45 ,52 ,53 ,23 ,45 ,20 ,3 ,300 
Männer,11 ,45 ,44 ,50 ,51 ,19 ,44 ,19 ,3 ,286 
Frauen,- ,3 ,1 ,2 ,2 ,4 ,1 ,1 ,- ,14 
,,,,,,,,,,
Übrige Suizidmethoden,16 ,35 ,50 ,51 ,64 ,44 ,44 ,21 ,9 ,334 
Männer,10 ,23 ,32 ,26 ,30 ,23 ,24 ,8 ,8 ,184 
Frauen,6 ,12 ,18 ,25 ,34 ,21 ,20 ,13 ,1 ,150 
,,,,,,,,,,
Alle Todesursachen,629 ,490 ,884 ,"1,740 ","4,061 ","6,860 ","13,804 ","22,308 ","12,294 ","63,070 "
Männer,375 ,364 ,583 ,"1,084 ","2,606 ","4,386 ","7,811 ","9,699 ","3,377 ","30,285 "
Frauen,254 ,126 ,301 ,656 ,"1,455 ","2,474 ","5,993 ","12,609 ","8,917 ","32,785 "
,,,,,,,,,,
,,,,,,,,,,
Stand der Daten: 8.12.2010 ,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 032 713 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
