"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2015,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
  ,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,39 ,102 ,108 ,170 ,236 ,165 ,129 ,106 ,16 ,"1,071 "
Männer,29 ,78 ,81 ,119 ,168 ,123 ,99 ,82 ,13 ,792 
Frauen,10 ,24 ,27 ,51 ,68 ,42 ,30 ,24 ,3 ,279 
,,,,,,,,,,
Vergiftung 1),2 ,12 ,16 ,21 ,37 ,20 ,10 ,12 ,2 ,132 
Männer,1 ,8 ,9 ,13 ,19 ,10 ,4 ,7 ,1 ,72 
Frauen,1 ,4 ,7 ,8 ,18 ,10 ,6 ,5 ,1 ,60 
,,,,,,,,,,
Erhängen,13 ,31 ,36 ,72 ,88 ,50 ,31 ,17 ,2 ,340 
Männer,10 ,23 ,30 ,58 ,71 ,40 ,23 ,17 ,2 ,274 
Frauen,3 ,8 ,6 ,14 ,17 ,10 ,8 ,- ,- ,66 
,,,,,,,,,,
Schusswaffen,5 ,13 ,13 ,22 ,40 ,43 ,42 ,31 ,2 ,211 
Männer,4 ,13 ,13 ,22 ,37 ,42 ,41 ,31 ,2 ,205 
Frauen,1 ,- ,- ,- ,3 ,1 ,1 ,- ,- ,6 
,,,,,,,,,,
Übrige Suizidmethoden,19 ,46 ,43 ,55 ,71 ,52 ,46 ,46 ,10 ,388 
Männer,14 ,34 ,29 ,26 ,41 ,31 ,31 ,27 ,8 ,241 
Frauen,5 ,12 ,14 ,29 ,30 ,21 ,15 ,19 ,2 ,147 
,,,,,,,,,,
Alle Todesursachen,562 ,343 ,528 ,"1,413 ","3,614 ","7,242 ","13,138 ","24,442 ","16,324 ","67,606 "
Männer,335 ,270 ,338 ,887 ,"2,253 ","4,571 ","7,735 ","11,237 ","5,020 ","32,646 "
Frauen,227 ,73 ,190 ,526 ,"1,361 ","2,671 ","5,403 ","13,205 ","11,304 ","34,960 "
,,,,,,,,,,
Stand der Daten: 14.11.2017,,,,,,,,,,
1) Ab 2009 ohne assistierten Suizid,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 058 463 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
