"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2001,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,51 ,128 ,176 ,219 ,262 ,169 ,158 ,137 ,31 ,"1,331 "
Männer,35 ,105 ,131 ,161 ,179 ,117 ,109 ,87 ,15 ,939 
Frauen,16 ,23 ,45 ,58 ,83 ,52 ,49 ,50 ,16 ,392 
,,,,,,,,,,
Vergiftung,4 ,13 ,37 ,44 ,56 ,44 ,43 ,57 ,20 ,318 
Männer,2 ,9 ,24 ,24 ,32 ,21 ,22 ,21 ,6 ,161 
Frauen,2 ,4 ,13 ,20 ,24 ,23 ,21 ,36 ,14 ,157 
,,,,,,,,,,
Erhängen,11 ,31 ,42 ,58 ,66 ,40 ,33 ,32 ,4 ,317 
Männer,9 ,21 ,31 ,46 ,50 ,34 ,24 ,24 ,4 ,243 
Frauen,2 ,10 ,11 ,12 ,16 ,6 ,9 ,8 ,- ,74 
,,,,,,,,,,
Schusswaffen,9 ,56 ,52 ,62 ,78 ,32 ,35 ,24 ,1 ,349 
Männer,9 ,52 ,46 ,58 ,72 ,31 ,35 ,24 ,1 ,328 
Frauen,- ,4 ,6 ,4 ,6 ,1 ,- ,- ,- ,21 
,,,,,,,,,,
Übrige Suizidmethoden,27 ,28 ,45 ,55 ,62 ,53 ,47 ,24 ,6 ,347 
Männer,15 ,23 ,30 ,33 ,25 ,31 ,28 ,18 ,4 ,207 
Frauen,12 ,5 ,15 ,22 ,37 ,22 ,19 ,6 ,2 ,140 
,,,,,,,,,,
Alle Todesursachen,727 ,507 ,973 ,"1,854 ","3,980 ","6,918 ","13,904 ","21,233 ","11,132 ","61,228 "
Männer,446 ,372 ,642 ,"1,207 ","2,537 ","4,465 ","8,027 ","9,116 ","3,061 ","29,873 "
Frauen,281 ,135 ,331 ,647 ,"1,443 ","2,453 ","5,877 ","12,117 ","8,071 ","31,355 "
,,,,,,,,,,
,,,,,,,,,,
Stand der Daten: 8.12.2010 ,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 032 713 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
