"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2007,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,43 ,134 ,113 ,232 ,237 ,200 ,189 ,177 ,43 ,"1,368 "
Männer,28 ,95 ,83 ,168 ,161 ,138 ,120 ,103 ,29 ,925 
Frauen,15 ,39 ,30 ,64 ,76 ,62 ,69 ,74 ,14 ,443 
,,,,,,,,,,
Vergiftung,2 ,28 ,21 ,54 ,50 ,60 ,84 ,89 ,21 ,409 
Männer,- ,14 ,11 ,31 ,22 ,28 ,41 ,35 ,12 ,194 
Frauen,2 ,14 ,10 ,23 ,28 ,32 ,43 ,54 ,9 ,215 
,,,,,,,,,,
Erhängen,9 ,26 ,38 ,69 ,52 ,41 ,28 ,28 ,9 ,300 
Männer,6 ,19 ,30 ,58 ,39 ,35 ,22 ,22 ,7 ,238 
Frauen,3 ,7 ,8 ,11 ,13 ,6 ,6 ,6 ,2 ,62 
,,,,,,,,,,
Schusswaffen,8 ,30 ,22 ,38 ,55 ,42 ,38 ,26 ,5 ,264 
Männer,8 ,29 ,19 ,37 ,55 ,40 ,38 ,26 ,5 ,257 
Frauen,- ,1 ,3 ,1 ,- ,2 ,- ,- ,- ,7 
,,,,,,,,,,
Übrige Suizidmethoden,24 ,50 ,32 ,71 ,80 ,57 ,39 ,34 ,8 ,395 
Männer,14 ,33 ,23 ,42 ,45 ,35 ,19 ,20 ,5 ,236 
Frauen,10 ,17 ,9 ,29 ,35 ,22 ,20 ,14 ,3 ,159 
,,,,,,,,,,
Alle Todesursachen,566 ,454 ,623 ,"1,673 ","3,747 ","7,009 ","12,597 ","22,124 ","12,296 ","61,089 "
Männer,321 ,326 ,401 ,"1,055 ","2,348 ","4,483 ","7,267 ","9,836 ","3,507 ","29,544 "
Frauen,245 ,128 ,222 ,618 ,"1,399 ","2,526 ","5,330 ","12,288 ","8,789 ","31,545 "
,,,,,,,,,,
,,,,,,,,,,
Stand der Daten: 8.12.2010 ,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 032 713 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
