"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2017,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
 ,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,33 ,96 ,119 ,141 ,246 ,157 ,139 ,94 ,18 ,"1,043 "
Männer,23 ,74 ,87 ,99 ,173 ,115 ,106 ,80 ,16 ,773 
Frauen,10 ,22 ,32 ,42 ,73 ,42 ,33 ,14 ,2 ,270 
,,,,,,,,,,
Vergiftung 1),4 ,7 ,21 ,16 ,35 ,17 ,12 ,10 ,2 ,124 
Männer,2 ,3 ,12 ,11 ,19 ,7 ,4 ,6 ,1 ,65 
Frauen,2 ,4 ,9 ,5 ,16 ,10 ,8 ,4 ,1 ,59 
,,,,,,,,,,
Erhängen,10 ,34 ,38 ,59 ,89 ,52 ,37 ,28 ,2 ,349 
Männer,8 ,28 ,27 ,40 ,64 ,44 ,28 ,24 ,2 ,265 
Frauen,2 ,6 ,11 ,19 ,25 ,8 ,9 ,4 ,- ,84 
,,,,,,,,,,
Schusswaffen,- ,14 ,13 ,14 ,50 ,33 ,39 ,30 ,5 ,198 
Männer,- ,14 ,12 ,13 ,47 ,31 ,39 ,30 ,5 ,191 
Frauen,- ,- ,1 ,1 ,3 ,2 ,- ,- ,- ,7 
,,,,,,,,,,
Übrige Suizidmethoden,19 ,41 ,47 ,52 ,72 ,55 ,51 ,26 ,9 ,372 
Männer,13 ,29 ,36 ,35 ,43 ,33 ,35 ,20 ,8 ,252 
Frauen,6 ,12 ,11 ,17 ,29 ,22 ,16 ,6 ,1 ,120 
,,,,,,,,,,
Alle Todesursachen,506 ,331 ,551 ,"1,294 ","3,620 ","6,813 ","13,113 ","24,137 ","16,606 ","66,971 "
Männer,301 ,240 ,357 ,823 ,"2,306 ","4,308 ","7,639 ","11,169 ","5,262 ","32,405 "
Frauen,205 ,91 ,194 ,471 ,"1,314 ","2,505 ","5,474 ","12,968 ","11,344 ","34,566 "
,,,,,,,,,,
Stand der Daten: 16.12.2019,,,,,,,,,,
1) Ab 2009 ohne assistierten Suizid,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 058 463 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
