"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2000,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,40 ,166 ,216 ,237 ,234 ,160 ,178 ,119 ,28 ,"1,378 "
Männer,31 ,131 ,163 ,176 ,168 ,97 ,120 ,74 ,20 ,980 
Frauen,9 ,35 ,53 ,61 ,66 ,63 ,58 ,45 ,8 ,398 
,,,,,,,,,,
Vergiftung,5 ,17 ,50 ,38 ,36 ,40 ,55 ,33 ,8 ,282 
Männer,2 ,9 ,32 ,19 ,21 ,16 ,29 ,18 ,4 ,150 
Frauen,3 ,8 ,18 ,19 ,15 ,24 ,26 ,15 ,4 ,132 
,,,,,,,,,,
Erhängen,12 ,43 ,57 ,74 ,57 ,49 ,32 ,27 ,7 ,358 
Männer,10 ,34 ,44 ,60 ,43 ,35 ,24 ,17 ,7 ,274 
Frauen,2 ,9 ,13 ,14 ,14 ,14 ,8 ,10 ,- ,84 
,,,,,,,,,,
Schusswaffen,8 ,57 ,53 ,69 ,68 ,25 ,49 ,20 ,2 ,351 
Männer,7 ,55 ,51 ,64 ,65 ,24 ,48 ,20 ,2 ,336 
Frauen,1 ,2 ,2 ,5 ,3 ,1 ,1 ,- ,- ,15 
,,,,,,,,,,
Übrige Suizidmethoden,15 ,49 ,56 ,56 ,73 ,46 ,42 ,39 ,11 ,387 
Männer,12 ,33 ,36 ,33 ,39 ,22 ,19 ,19 ,7 ,220 
Frauen,3 ,16 ,20 ,23 ,34 ,24 ,23 ,20 ,4 ,167 
,,,,,,,,,,
Alle Todesursachen,736 ,630 ,982 ,"1,816 ","4,131 ","7,177 ","14,326 ","21,830 ","10,900 ","62,528 "
Männer,451 ,464 ,657 ,"1,181 ","2,632 ","4,590 ","8,260 ","9,202 ","2,962 ","30,399 "
Frauen,285 ,166 ,325 ,635 ,"1,499 ","2,587 ","6,066 ","12,628 ","7,938 ","32,129 "
,,,,,,,,,,
,,,,,,,,,,
Stand der Daten: 8.12.2010 ,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 032 713 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
