"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2014,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
 ,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,31 ,79 ,103 ,160 ,235 ,161 ,131 ,111 ,17 ,"1,028 "
Männer,23 ,58 ,71 ,119 ,166 ,120 ,98 ,88 ,11 ,754 
Frauen,8 ,21 ,32 ,41 ,69 ,41 ,33 ,23 ,6 ,274 
,,,,,,,,,,
Vergiftung 1),- ,8 ,12 ,23 ,45 ,22 ,15 ,13 ,- ,138 
Männer,- ,4 ,7 ,12 ,22 ,11 ,6 ,7 ,- ,69 
Frauen,- ,4 ,5 ,11 ,23 ,11 ,9 ,6 ,- ,69 
,,,,,,,,,,
Erhängen,12 ,20 ,37 ,58 ,75 ,42 ,30 ,23 ,5 ,302 
Männer,7 ,17 ,26 ,48 ,63 ,31 ,23 ,19 ,4 ,238 
Frauen,5 ,3 ,11 ,10 ,12 ,11 ,7 ,4 ,1 ,64 
,,,,,,,,,,
Schusswaffen,5 ,11 ,11 ,18 ,35 ,32 ,39 ,34 ,2 ,187 
Männer,5 ,9 ,11 ,18 ,33 ,32 ,39 ,33 ,2 ,182 
Frauen,- ,2 ,- ,- ,2 ,- ,- ,1 ,- ,5 
,,,,,,,,,,
Übrige Suizidmethoden,14 ,40 ,43 ,61 ,80 ,65 ,47 ,41 ,10 ,401 
Männer,11 ,28 ,27 ,41 ,48 ,46 ,30 ,29 ,5 ,265 
Frauen,3 ,12 ,16 ,20 ,32 ,19 ,17 ,12 ,5 ,136 
,,,,,,,,,,
Alle Todesursachen,519 ,325 ,544 ,"1,402 ","3,618 ","7,099 ","12,308 ","23,346 ","14,777 ","63,938 "
Männer,308 ,225 ,355 ,885 ,"2,291 ","4,517 ","7,108 ","10,683 ","4,578 ","30,950 "
Frauen,211 ,100 ,189 ,517 ,"1,327 ","2,582 ","5,200 ","12,663 ","10,199 ","32,988 "
,,,,,,,,,,
Stand der Daten: 23.06.2016,,,,,,,,,,
1) Ab 2009 ohne assistierten Suizid,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 058 463 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
