"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2013,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
 ,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,34 ,94 ,101 ,198 ,230 ,175 ,119 ,93 ,26 ,"1,070 "
Männer,23 ,77 ,72 ,149 ,156 ,132 ,79 ,78 ,20 ,786 
Frauen,11 ,17 ,29 ,49 ,74 ,43 ,40 ,15 ,6 ,284 
,,,,,,,,,,
Vergiftung 1),2 ,14 ,11 ,26 ,37 ,31 ,20 ,9 ,4 ,154 
Männer,2 ,10 ,6 ,14 ,17 ,19 ,8 ,3 ,2 ,81 
Frauen,- ,4 ,5 ,12 ,20 ,12 ,12 ,6 ,2 ,73 
,,,,,,,,,,
Erhängen,8 ,27 ,39 ,72 ,74 ,46 ,24 ,27 ,5 ,322 
Männer,3 ,21 ,31 ,60 ,56 ,38 ,14 ,25 ,4 ,252 
Frauen,5 ,6 ,8 ,12 ,18 ,8 ,10 ,2 ,1 ,70 
,,,,,,,,,,
Schusswaffen,3 ,15 ,11 ,33 ,44 ,38 ,31 ,39 ,8 ,222 
Männer,3 ,15 ,10 ,31 ,41 ,38 ,30 ,37 ,8 ,213 
Frauen,- ,- ,1 ,2 ,3 ,- ,1 ,2 ,- ,9 
,,,,,,,,,,
Übrige Suizidmethoden,21 ,38 ,40 ,67 ,75 ,60 ,44 ,18 ,9 ,372 
Männer,15 ,31 ,25 ,44 ,42 ,37 ,27 ,13 ,6 ,240 
Frauen,6 ,7 ,15 ,23 ,33 ,23 ,17 ,5 ,3 ,132 
,,,,,,,,,,
Alle Todesursachen,535 ,337 ,542 ,"1,555 ","3,646 ","7,171 ","12,386 ","23,931 ","14,858 ","64,961 "
Männer,321 ,253 ,341 ,989 ,"2,305 ","4,480 ","7,197 ","10,789 ","4,582 ","31,257 "
Frauen,214 ,84 ,201 ,566 ,"1,341 ","2,691 ","5,189 ","13,142 ","10,276 ","33,704 "
,,,,,,,,,,
Stand der Daten: 07.07.2015,,,,,,,,,,
1) Ab 2009 ohne assistierten Suizid,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 058 463 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
